,open_covid_region_code,date,symptom:Abdominal obesity,symptom:Abdominal pain,symptom:Acne,symptom:Alcoholism,symptom:Allergy,symptom:Anemia,symptom:Anxiety,symptom:Arthritis,symptom:Asperger syndrome,symptom:Asthma,symptom:Attention deficit hyperactivity disorder,symptom:Autoimmune disease,symptom:Back pain,symptom:Bleeding,symptom:Bloating,symptom:Bone fracture,symptom:Bruise,symptom:Burn,symptom:Candidiasis,symptom:Chest pain,symptom:Common cold,symptom:Constipation,symptom:Cough,symptom:Cramp,symptom:Dementia,symptom:Depression,symptom:Dermatitis,symptom:Diabetes,symptom:Diarrhea,symptom:Dizziness,symptom:Dysmenorrhea,symptom:Epilepsy,symptom:Erectile dysfunction,symptom:Fatigue,symptom:Fever,symptom:Flatulence,symptom:Gastroesophageal reflux disease,symptom:Gout,symptom:Hair loss,symptom:Hay fever,symptom:Headache,symptom:Heart arrhythmia,symptom:Heartburn,symptom:Hemorrhoids,symptom:Hives,symptom:Hypertension,symptom:Hypotension,symptom:Hypothyroidism,symptom:Implantation bleeding,symptom:Indigestion,symptom:Infection,symptom:Inflammation,symptom:Insomnia,symptom:Iron deficiency,symptom:Itch,symptom:Kidney failure,symptom:Kidney stone,symptom:Knee Pain,symptom:Low back pain,symptom:Major depressive disorder,symptom:Migraine,symptom:Myocardial infarction,symptom:Nasal congestion,symptom:Nausea,symptom:Neck pain,symptom:Obesity,symptom:Pain,symptom:Panic attack,symptom:Paresthesia,symptom:Perspiration,symptom:Psychosis,symptom:Scar,symptom:Sciatica,symptom:Sinusitis,symptom:Skin condition,symptom:Skin rash,symptom:Skin ulcer,symptom:Sleep apnea,symptom:Sleep disorder,symptom:Sore throat,symptom:Stroke,symptom:Swelling,symptom:Type 2 diabetes,symptom:Urinary incontinence,symptom:Urinary tract infection,symptom:Vaginal discharge,symptom:Vertigo,symptom:Vomiting,symptom:Wart,symptom:Weight gain,symptom:Xeroderma,symptom:Generalized anxiety disorder,symptom:Otitis,hospitalized_new
0,US-AL,2020-03-16,1.9385714285714286,4.029999999999999,7.694285714285714,3.3114285714285714,16.954285714285714,1.8514285714285712,7.039999999999999,8.537142857142857,0.7400000000000001,4.412857142857143,2.4428571428571426,2.064285714285714,4.272857142857143,3.4057142857142852,1.7157142857142857,2.2985714285714285,1.33,1.907142857142857,3.0728571428571425,1.8699999999999999,35.745714285714286,2.871428571428571,12.965714285714286,2.86,1.5071428571428573,3.412857142857143,2.122857142857143,7.005714285714286,4.365714285714286,1.3285714285714287,1.0600000000000003,2.0785714285714287,2.5471428571428567,4.271428571428571,14.06857142857143,2.2271428571428573,4.137142857142857,0.9685714285714285,3.531428571428571,5.372857142857144,4.484285714285714,1.6342857142857146,2.815714285714286,1.3128571428571427,1.8057142857142858,7.087142857142858,1.082857142857143,1.4071428571428573,1.1028571428571428,1.4257142857142855,66.49285714285715,6.107142857142857,2.65,1.25,7.642857142857144,1.2042857142857142,1.1857142857142855,1.0942857142857143,2.2057142857142855,3.4214285714285713,4.271428571428571,2.314285714285714,2.5785714285714283,1.967142857142857,1.2157142857142857,4.022857142857143,35.33714285714286,1.5485714285714285,1.6614285714285713,1.6257142857142857,1.3985714285714288,2.045714285714286,0.8785714285714287,3.0799999999999996,3.7499999999999996,7.348571428571428,1.6128571428571428,1.1028571428571428,1.9542857142857144,4.1342857142857135,2.0571428571428574,5.067142857142857,3.5957142857142848,1.1071428571428572,4.385714285714286,2.8171428571428576,0.9242857142857143,2.6457142857142855,1.0857142857142859,2.431428571428571,2.1014285714285714,0.9657142857142856,1.4300000000000002,0.0
1,US-AL,2020-03-23,2.3085714285714287,4.275714285714286,8.39857142857143,3.3099999999999996,17.23,1.7785714285714287,7.228571428571428,7.387142857142857,0.7942857142857144,3.9585714285714286,2.4314285714285715,1.7542857142857142,4.58,3.5714285714285716,1.8757142857142857,2.3314285714285714,1.3628571428571428,2.1014285714285714,3.1271428571428572,1.9814285714285713,27.514285714285716,2.9299999999999997,9.48857142857143,3.115714285714286,1.5814285714285714,3.467142857142857,2.337142857142857,6.778571428571428,3.9728571428571433,1.4614285714285715,1.2514285714285713,2.027142857142857,2.557142857142857,4.217142857142857,9.882857142857143,2.2471428571428573,4.001428571428572,1.0257142857142858,4.041428571428572,4.910000000000001,4.917142857142857,1.6685714285714286,3.042857142857143,1.3242857142857143,1.8014285714285714,6.732857142857143,1.237142857142857,1.3000000000000003,1.252857142857143,1.4228571428571428,46.537142857142854,5.87,2.9014285714285717,1.2671428571428573,8.685714285714287,1.1828571428571428,1.25,1.1771428571428568,2.495714285714286,3.377142857142857,4.642857142857143,2.3885714285714283,2.2628571428571425,1.9685714285714286,1.32,4.164285714285714,35.817142857142855,1.6328571428571428,1.6814285714285713,1.7985714285714285,1.4542857142857144,2.1342857142857143,0.97,2.777142857142857,3.865714285714286,7.742857142857143,1.582857142857143,1.1557142857142857,2.2157142857142857,2.998571428571428,2.137142857142857,5.201428571428571,3.3957142857142855,1.087142857142857,4.424285714285714,2.995714285714286,0.9771428571428571,2.5471428571428567,1.1457142857142857,2.6,2.335714285714286,0.9228571428571428,1.3442857142857143,0.0
2,US-AL,2020-03-30,2.4014285714285712,4.159999999999999,9.677142857142858,3.457142857142857,16.16,1.83,6.997142857142856,7.054285714285714,0.9457142857142857,3.6114285714285717,2.4699999999999998,1.5299999999999998,4.515714285714286,3.670000000000001,1.8328571428571425,2.3614285714285717,1.3057142857142858,1.9957142857142858,2.9800000000000004,1.9085714285714286,23.634285714285713,2.9357142857142855,7.925714285714286,3.0228571428571427,1.502857142857143,3.5928571428571425,2.3757142857142854,6.567142857142857,3.688571428571429,1.4299999999999997,1.2914285714285714,1.9442857142857144,2.55,4.147142857142858,7.895714285714284,2.154285714285714,4.282857142857142,0.99,4.128571428571429,4.454285714285715,4.665714285714286,1.6757142857142857,4.107142857142857,1.3342857142857143,1.5857142857142859,6.572857142857143,1.1585714285714286,1.2671428571428571,1.28,1.3971428571428572,38.037142857142854,5.265714285714286,2.8985714285714286,1.2642857142857142,8.819999999999999,1.1300000000000001,1.2228571428571429,1.1385714285714286,2.447142857142857,3.4757142857142855,4.6814285714285715,2.357142857142857,2.0414285714285714,1.9771428571428566,1.2614285714285713,4.495714285714286,33.38,1.6042857142857145,1.7028571428571428,1.5385714285714285,1.4785714285714289,2.142857142857143,0.9571428571428573,2.4642857142857144,3.8085714285714283,7.862857142857143,1.5671428571428572,1.3299999999999998,2.207142857142857,2.471428571428571,2.1514285714285712,4.9071428571428575,3.2985714285714285,1.1128571428571428,4.244285714285715,3.011428571428571,0.9442857142857143,2.472857142857143,1.1028571428571428,2.6142857142857143,3.73,0.9357142857142857,1.2485714285714284,231.0
3,US-AL,2020-04-06,2.7314285714285718,4.241428571428572,8.914285714285715,3.3171428571428576,14.142857142857144,1.862857142857143,6.927142857142859,7.248571428571428,0.8742857142857143,3.057142857142857,2.542857142857143,1.6071428571428572,4.701428571428572,3.64,1.9671428571428569,2.484285714285714,1.3442857142857143,2.025714285714286,3.0557142857142856,1.7342857142857142,15.764285714285716,3.0399999999999996,5.941428571428571,4.088571428571428,1.6914285714285715,3.8857142857142857,2.434285714285714,7.094285714285715,3.5614285714285714,1.4400000000000002,1.3385714285714285,2.065714285714286,2.892857142857143,3.9899999999999998,5.95857142857143,2.298571428571429,4.077142857142857,1.002857142857143,4.558571428571429,3.2971428571428567,4.307142857142858,1.6942857142857144,3.2300000000000004,1.3900000000000001,1.3842857142857146,6.662857142857143,1.1542857142857144,1.2514285714285713,1.2742857142857142,1.4614285714285713,30.004285714285714,5.177142857142856,3.0528571428571425,1.247142857142857,9.248571428571427,1.1614285714285713,1.2485714285714287,1.2157142857142857,2.5685714285714285,3.6142857142857143,4.301428571428572,2.3114285714285714,1.6114285714285717,2.05,1.3114285714285714,4.561428571428572,33.49714285714287,1.5057142857142856,1.84,1.742857142857143,1.534285714285714,2.1599999999999997,0.9957142857142857,1.9585714285714286,3.8057142857142856,8.151428571428571,1.587142857142857,1.0571428571428572,2.2614285714285716,1.8971428571428572,2.212857142857143,5.042857142857143,3.4314285714285715,1.11,4.277142857142858,3.005714285714286,0.9314285714285714,2.415714285714286,1.1671428571428568,2.891428571428571,3.1042857142857145,0.9442857142857142,1.1614285714285713,206.0
4,US-AL,2020-04-13,2.9285714285714284,4.134285714285714,9.625714285714285,3.3142857142857145,12.025714285714287,1.8457142857142859,6.717142857142856,5.178571428571429,0.8585714285714285,2.337142857142857,2.6814285714285715,1.2799999999999998,4.897142857142858,3.5814285714285714,2.0242857142857145,2.492857142857143,1.2685714285714285,1.9785714285714282,3.0028571428571427,1.5571428571428572,11.179999999999998,3.094285714285714,4.552857142857142,3.091428571428572,1.7485714285714287,3.904285714285714,2.4514285714285715,7.047142857142857,3.3471428571428574,1.4185714285714286,1.307142857142857,2.0028571428571427,2.764285714285714,3.8985714285714286,4.458571428571429,2.2314285714285713,4.017142857142857,0.9885714285714285,4.805714285714286,2.3628571428571425,4.131428571428571,1.6371428571428572,3.184285714285714,1.4000000000000001,1.2314285714285713,6.405714285714287,1.0571428571428572,1.2671428571428571,1.1814285714285713,1.42,25.53857142857143,4.920000000000001,3.0142857142857147,1.28,8.514285714285716,1.1542857142857144,1.3199999999999998,1.2714285714285716,2.642857142857143,3.6485714285714286,4.1242857142857146,2.1599999999999997,1.397142857142857,1.9857142857142855,1.4685714285714286,4.832857142857143,33.17714285714286,1.3842857142857146,1.7557142857142858,1.6085714285714285,1.57,2.318571428571428,1.0671428571428572,1.6900000000000002,3.871428571428571,7.562857142857142,1.6771428571428568,1.1514285714285712,2.2271428571428573,1.5014285714285713,2.248571428571428,4.798571428571428,3.5871428571428576,1.1757142857142857,4.254285714285714,2.9200000000000004,0.96,2.3214285714285716,1.2228571428571426,3.0599999999999996,3.6585714285714284,0.9242857142857143,1.0385714285714285,204.0
5,US-AL,2020-04-20,3.1028571428571428,4.392857142857143,9.565714285714288,3.535714285714285,11.868571428571428,1.977142857142857,7.047142857142857,5.542857142857143,0.8928571428571429,2.27,2.7542857142857144,1.3957142857142857,5.225714285714285,3.6985714285714293,2.197142857142857,2.6228571428571428,1.407142857142857,2.0342857142857143,3.0100000000000007,1.5614285714285714,9.70857142857143,3.298571428571428,4.127142857142856,3.2071428571428577,1.7099999999999997,3.967142857142857,2.4357142857142855,7.262857142857143,3.4385714285714286,1.48,1.3557142857142856,2.087142857142857,2.791428571428572,4.2299999999999995,4.095714285714285,2.2728571428571427,4.184285714285714,1.1071428571428572,4.9557142857142855,2.075714285714286,4.264285714285714,1.7657142857142856,3.3042857142857147,1.407142857142857,1.1985714285714286,6.981428571428571,1.1842857142857142,1.4042857142857144,1.1857142857142855,1.5271428571428571,24.88285714285714,5.118571428571428,3.2414285714285715,1.3442857142857143,9.05,1.2671428571428571,1.3785714285714286,1.3485714285714285,2.8357142857142854,3.7671428571428573,4.2299999999999995,2.267142857142857,1.2157142857142857,2.062857142857143,1.4814285714285713,5.1571428571428575,34.777142857142856,1.437142857142857,1.8800000000000001,1.6957142857142855,1.6314285714285715,2.415714285714285,1.0957142857142856,1.52,4.092857142857143,7.927142857142856,1.75,1.0799999999999998,2.3085714285714283,1.342857142857143,2.3971428571428572,5.167142857142857,3.6514285714285717,1.252857142857143,4.355714285714286,2.9728571428571433,0.9414285714285715,2.432857142857143,1.302857142857143,3.2985714285714285,3.4042857142857144,1.0328571428571427,1.092857142857143,204.0
6,US-AL,2020-04-27,3.0399999999999996,4.191428571428572,9.64,3.4585714285714286,12.404285714285715,1.9528571428571426,7.05,5.001428571428572,0.9128571428571428,2.0842857142857145,2.765714285714286,1.352857142857143,5.151428571428572,3.6814285714285715,2.1357142857142857,2.6600000000000006,1.4299999999999997,2.2314285714285713,2.955714285714286,1.4557142857142857,8.934285714285716,3.237142857142857,3.751428571428572,3.1228571428571423,1.812857142857143,3.982857142857143,2.5042857142857144,7.437142857142858,3.3642857142857143,1.487142857142857,1.3,2.112857142857143,2.731428571428571,4.22,3.9585714285714286,2.2414285714285715,4.518571428571429,1.0614285714285716,4.831428571428572,2.2114285714285713,4.297142857142857,1.7842857142857143,3.6028571428571428,1.4242857142857144,1.3085714285714283,6.721428571428571,1.1885714285714286,1.452857142857143,1.1857142857142855,1.7442857142857144,23.78571428571428,5.0928571428571425,3.1271428571428572,1.3685714285714285,9.542857142857143,1.2014285714285715,1.3785714285714283,1.3800000000000001,2.7185714285714284,3.817142857142857,4.251428571428572,2.1928571428571426,1.1814285714285713,2.0214285714285714,1.4400000000000002,5.172857142857143,34.79714285714286,1.474285714285714,1.867142857142857,1.8185714285714287,1.5528571428571427,2.424285714285714,1.0871428571428574,1.5471428571428572,4.265714285714286,8.614285714285716,1.7371428571428569,1.1642857142857144,2.2500000000000004,1.2642857142857142,2.2857142857142856,5.384285714285714,3.662857142857143,1.2342857142857144,4.238571428571428,2.9800000000000004,0.9985714285714286,2.4600000000000004,1.2957142857142858,3.34,3.5528571428571425,0.9857142857142858,1.0571428571428572,190.0
7,US-AL,2020-05-04,2.934285714285714,4.242857142857143,8.995714285714286,3.3600000000000003,11.864285714285714,1.8799999999999997,6.792857142857143,5.057142857142858,0.8985714285714286,2.017142857142857,2.668571428571429,1.405714285714286,5.014285714285714,3.685714285714286,2.0928571428571425,2.5085714285714285,1.4328571428571428,2.3085714285714283,2.9071428571428575,1.4085714285714286,8.30857142857143,3.257142857142857,3.5442857142857145,3.0885714285714285,1.7528571428571431,3.8528571428571428,2.4842857142857144,7.218571428571429,3.3371428571428567,1.4271428571428573,1.3085714285714285,2.1285714285714286,2.7914285714285714,4.115714285714285,5.014285714285713,2.18,3.9528571428571433,1.0457142857142858,4.5371428571428565,2.0442857142857145,4.05,1.787142857142857,3.075714285714285,1.487142857142857,1.22,6.612857142857143,1.1257142857142857,1.4657142857142857,1.1842857142857144,1.4700000000000002,22.59714285714286,4.968571428571429,3.0228571428571427,1.3342857142857143,9.404285714285717,1.2071428571428573,1.3457142857142856,1.4242857142857144,2.635714285714286,3.7100000000000004,4.047142857142857,2.1285714285714286,1.1228571428571428,1.9714285714285715,1.4171428571428575,4.935714285714285,34.83571428571429,1.3828571428571428,1.915714285714286,1.741428571428571,1.4571428571428573,2.3728571428571428,1.0771428571428572,1.447142857142857,4.18,8.604285714285714,1.7757142857142856,1.0657142857142856,2.1457142857142855,1.2285714285714289,2.1499999999999995,5.5200000000000005,3.617142857142857,1.2028571428571426,4.148571428571429,2.8985714285714286,0.9557142857142856,2.3385714285714285,1.3485714285714288,3.2514285714285713,3.0300000000000002,0.9714285714285714,1.0314285714285714,205.0
8,US-AL,2020-05-11,3.117142857142857,4.3185714285714285,9.150000000000002,3.3871428571428566,12.301428571428572,1.9585714285714286,6.917142857142857,5.288571428571428,0.8499999999999999,2.067142857142857,2.7728571428571427,1.3871428571428572,5.2628571428571425,3.837142857142857,2.2085714285714286,2.75,1.5685714285714287,2.6185714285714283,2.9899999999999998,1.4357142857142855,8.327142857142858,3.485714285714286,3.5042857142857144,3.1942857142857144,1.7528571428571431,3.9528571428571424,2.6442857142857146,7.534285714285714,3.4857142857142853,1.5257142857142856,1.3142857142857143,2.1457142857142855,2.8557142857142854,4.351428571428571,5.185714285714286,2.2357142857142858,4.0128571428571425,1.0628571428571427,4.838571428571429,2.0814285714285714,4.214285714285714,1.8457142857142856,3.152857142857143,1.497142857142857,1.2757142857142856,6.834285714285713,1.1700000000000002,1.5371428571428571,1.2,1.5585714285714285,22.729999999999997,5.185714285714285,3.1,1.417142857142857,9.801428571428573,1.227142857142857,1.4128571428571426,1.4857142857142855,2.8042857142857143,3.7357142857142853,4.155714285714286,2.1714285714285717,1.1414285714285712,2.0742857142857143,1.4814285714285715,5.204285714285715,36.16571428571428,1.4485714285714286,1.9185714285714288,1.9485714285714286,1.4314285714285713,2.5242857142857145,1.157142857142857,1.5442857142857143,4.57,8.942857142857143,1.774285714285714,1.1514285714285715,2.1914285714285713,1.2514285714285713,2.3485714285714288,5.788571428571429,3.811428571428572,1.2028571428571428,4.284285714285715,2.957142857142857,1.0385714285714285,2.427142857142857,1.4171428571428568,3.6142857142857143,3.1614285714285715,0.9957142857142858,1.06,152.0
9,US-AL,2020-05-18,3.0714285714285716,4.422857142857143,9.012857142857143,3.4885714285714284,11.572857142857142,1.9814285714285715,6.978571428571429,7.137142857142857,0.8628571428571429,1.9057142857142857,2.718571428571429,1.4742857142857144,5.424285714285715,3.732857142857143,2.2885714285714287,2.698571428571429,1.5814285714285712,2.8442857142857143,2.987142857142857,1.4628571428571429,7.687142857142857,3.5157142857142856,3.432857142857143,3.3085714285714287,1.8614285714285714,3.987142857142857,2.565714285714286,7.827142857142857,3.595714285714286,1.5957142857142859,1.3485714285714288,2.2728571428571427,2.8799999999999994,4.248571428571429,4.072857142857144,2.19,4.105714285714286,1.1442857142857144,4.668571428571428,1.7328571428571433,4.324285714285715,1.8571428571428572,3.201428571428572,1.5285714285714285,1.1714285714285715,7.137142857142857,1.2685714285714285,1.5942857142857143,1.1842857142857144,1.5171428571428573,22.414285714285715,5.231428571428572,3.1571428571428575,1.4485714285714284,9.932857142857143,1.247142857142857,1.445714285714286,1.4757142857142858,2.892857142857143,3.7814285714285716,4.388571428571429,2.147142857142857,1.0457142857142858,2.172857142857143,1.4814285714285715,5.878571428571428,37.01142857142857,1.4214285714285713,1.9857142857142858,2.1157142857142857,1.4457142857142855,2.6257142857142854,1.1485714285714284,1.441428571428571,4.457142857142857,8.73,1.705714285714286,1.1099999999999999,2.248571428571428,1.2057142857142857,2.3514285714285714,6.1257142857142854,4.015714285714286,1.2257142857142858,4.424285714285714,3.04,1.0614285714285714,2.5342857142857147,1.4242857142857144,3.598571428571429,2.735714285714286,0.972857142857143,1.162857142857143,220.0
